,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2014-06-02,0.74,0.6,0.49,0.43,0.49,0.48,0.56,0.55,0.41,0.49
2014-06-03,0.64,0.43,0.56,0.51,0.43,0.37,0.4,0.7,0.37,0.37
2014-06-04,0.58,0.46,0.42,0.36,0.45,0.35,0.39,0.52,0.35,0.35
2014-06-05,0.84,0.75,1.16,1.03,0.66,0.75,0.67,0.94,0.67,0.75
2014-06-06,0.48,0.52,0.5,0.47,0.44,0.42,0.48,0.79,0.45,0.42
2014-06-09,0.43,0.54,0.59,0.55,0.37,0.38,0.39,0.55,0.41,0.37
2014-06-10,0.49,0.38,0.49,0.53,0.51,0.35,0.46,0.52,0.39,0.35
2014-06-11,0.45,0.5,0.43,0.4,0.46,0.37,0.53,0.65,0.41,0.36
2014-06-12,0.92,0.62,0.67,0.65,0.91,0.67,0.69,1.98,0.67,0.67
2014-06-13,0.56,0.41,0.53,0.46,0.56,0.39,0.53,0.58,0.38,0.39
2014-06-16,0.45,0.42,0.48,0.45,0.35,0.35,0.39,0.42,0.34,0.35
2014-06-17,0.65,0.39,0.37,0.34,0.38,0.38,0.36,0.4,0.36,0.39
2014-06-18,0.72,0.53,0.49,0.47,0.61,0.54,0.48,0.75,0.51,0.54
2014-06-19,0.42,0.42,0.57,0.42,0.53,0.37,0.33,0.51,0.4,0.36
2014-06-20,0.38,0.91,0.46,0.42,0.43,0.39,0.37,0.44,0.38,0.39
2014-06-23,0.7,0.44,0.41,0.38,0.38,0.34,0.41,0.54,0.34,0.34
2014-06-24,0.63,0.38,0.46,0.42,0.47,0.35,0.42,0.59,0.37,0.35
2014-06-25,0.52,0.36,0.38,0.36,0.4,0.39,0.4,0.81,0.44,0.39
2014-06-26,0.4,0.46,0.46,0.51,0.49,0.36,0.5,0.65,0.39,0.36
2014-06-27,0.4,0.39,0.39,0.34,0.35,0.3,0.45,0.55,0.32,0.3
2014-06-30,0.51,0.49,0.54,0.43,0.57,0.43,0.44,0.69,0.41,0.43
2014-07-01,0.88,0.5,0.4,0.39,0.45,0.36,0.51,0.52,0.36,0.36
2014-07-02,0.67,0.41,0.34,0.34,0.4,0.34,0.42,0.45,0.34,0.33
2014-07-03,1.1,0.79,0.64,0.55,0.6,0.53,0.54,0.68,0.6,0.53
2014-07-04,0.33,0.36,0.29,0.27,0.29,0.23,0.32,0.34,0.32,0.23
2014-07-07,0.37,0.58,0.35,0.31,0.47,0.33,0.39,0.55,0.35,0.33
2014-07-08,0.48,0.4,0.4,0.38,0.52,0.36,0.42,0.74,0.42,0.36
2014-07-09,0.42,0.4,0.32,0.31,0.35,0.35,0.44,0.45,0.34,0.35
2014-07-10,0.95,0.44,0.47,0.51,0.45,0.43,0.81,0.49,0.42,0.43
2014-07-11,0.43,1.03,0.35,0.34,0.44,0.33,0.38,0.42,0.39,0.33
2014-07-14,0.37,0.51,0.39,0.36,0.47,0.29,0.38,0.38,0.33,0.29
