,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2016-05-04,-0.02,-0.88,0.0,0.29,0.09,0.39,-0.02,-0.16,-0.1,0.4
2016-05-05,0.34,0.32,-0.97,-0.58,0.11,0.2,-0.05,0.27,0.16,0.2
2016-05-06,-1.08,-0.11,-0.18,0.37,-0.07,0.37,0.51,-0.35,0.17,0.36
2016-05-09,-0.22,0.32,0.51,0.25,0.34,0.35,-0.91,-0.64,-0.4,0.4
2016-05-10,0.73,0.46,-0.54,-0.09,0.27,0.04,-0.96,-0.15,0.24,0.0
2016-05-11,-0.21,0.1,0.19,0.14,-0.34,-0.37,0.47,0.57,-0.17,-0.38
2016-05-12,-0.53,0.23,0.29,-0.25,0.26,0.25,-0.38,0.26,-0.35,0.23
2016-05-13,-0.42,-0.41,-0.17,-0.27,-0.3,0.35,0.79,-0.44,0.47,0.4
2016-05-16,0.44,0.29,-0.44,-0.07,0.22,-0.18,-0.56,0.26,0.21,-0.17
2016-05-17,0.5,-0.18,-0.39,-0.16,0.4,-0.06,-0.2,0.26,-0.08,-0.08
2016-05-18,-0.82,-0.42,-0.16,-0.3,1.72,0.62,-0.42,-0.53,-0.35,0.66
2016-05-19,0.03,-0.46,-0.28,-0.07,0.16,0.02,0.27,0.09,0.16,0.07
2016-05-20,0.0,-0.08,0.12,0.27,-0.74,0.05,-0.08,0.44,-0.06,0.07
2016-05-23,-0.1,-0.35,0.09,0.01,-0.27,-0.1,0.82,-0.17,0.17,-0.1
2016-05-24,-0.43,0.37,-0.25,-0.57,1.39,0.19,-0.56,-0.24,-0.11,0.2
2016-05-25,0.03,0.7,0.02,-0.07,0.26,-0.17,-0.45,-0.16,0.06,-0.21
2016-05-26,0.23,0.12,0.03,0.2,-0.41,-0.22,0.23,-0.16,0.16,-0.2
2016-05-27,-0.16,0.04,-0.14,-0.34,0.09,0.47,-0.08,-0.32,-0.02,0.47
2016-05-30,0.1,-0.16,0.27,0.26,0.24,-0.03,-0.69,0.06,-0.08,0.02
2016-05-31,0.67,-0.47,-0.27,-0.14,-1.27,-0.1,0.33,1.09,0.24,-0.08
2016-06-01,0.03,-0.2,0.31,0.24,-0.83,-0.31,0.84,0.5,-0.25,-0.32
2016-06-02,-0.39,-0.1,-0.25,-0.31,0.13,0.07,0.74,-0.1,0.15,0.06
2016-06-03,0.68,-0.04,0.2,0.69,-0.71,-1.39,0.97,0.91,0.12,-1.43
2016-06-06,-0.07,1.07,0.68,-0.02,-0.2,-0.0,-1.04,-0.51,0.13,-0.02
2016-06-07,0.9,0.23,0.1,-0.47,0.26,-0.48,-0.3,0.39,-0.14,-0.5
2016-06-08,-0.08,0.11,0.42,0.08,-0.57,-0.2,0.11,0.34,0.07,-0.28
2016-06-09,-0.32,-0.05,-0.46,-0.58,-0.19,0.14,0.05,1.56,-0.3,0.16
2016-06-10,-0.36,-0.05,0.5,-0.16,-1.08,0.47,0.62,-0.3,-0.12,0.49
2016-06-13,0.03,-0.52,-0.12,0.27,-0.11,-0.15,0.48,-0.01,0.28,-0.14
2016-06-14,-0.09,0.04,0.46,-0.48,-0.81,0.41,0.48,-0.7,0.34,0.37
2016-06-15,0.46,-0.63,-0.06,0.24,0.43,-0.28,-0.17,0.37,-0.07,-0.28
2016-06-16,-0.71,-0.54,-0.44,-0.37,-0.07,-0.02,1.8,0.12,0.26,-0.03
2016-06-17,0.12,0.26,0.24,0.15,0.84,-0.39,-0.27,-0.18,-0.41,-0.37
2016-06-20,-0.05,-0.02,-0.67,-0.55,1.33,-0.37,0.44,0.34,-0.09,-0.37
2016-06-21,0.13,0.11,0.18,-0.49,-0.15,0.23,-0.67,0.26,0.19,0.21
2016-06-22,0.44,-0.57,0.08,0.19,0.09,-0.31,0.03,0.31,0.07,-0.32
2016-06-23,1.31,0.38,-0.43,0.46,0.76,-0.4,-2.25,0.93,-0.35,-0.41
2016-06-24,-0.41,-0.49,0.1,-1.03,-7.33,1.59,5.72,-0.16,0.37,1.64
2016-06-27,-0.73,0.33,0.18,0.72,-1.06,0.59,0.06,-0.64,-0.04,0.58
2016-06-28,0.54,0.11,-0.7,0.11,0.69,-0.27,-1.15,0.52,0.47,-0.3
2016-06-29,0.51,0.31,-0.21,0.13,0.22,-0.47,-0.54,0.54,-0.03,-0.46
2016-06-30,0.06,0.18,0.48,-0.11,-0.98,0.07,-0.31,0.39,0.15,0.07
2016-07-01,0.45,-0.12,0.04,0.13,-0.65,-0.26,0.48,0.33,-0.14,-0.26
2016-07-04,0.93,0.22,-0.0,-0.18,-0.05,-0.4,-0.32,0.58,-0.37,-0.4
2016-07-05,-0.44,-0.48,-0.05,-0.1,-1.56,0.69,1.53,-0.48,0.2,0.69
2016-07-06,0.77,0.09,0.13,0.19,-0.85,-0.1,0.35,-0.47,-0.0,-0.1
