,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2007-06-21,1.15,0.71,0.33,0.51,-0.17,0.27,0.37,-0.43,-0.81,-0.64,-0.87,-0.38,-0.19,-0.46,0.66,0.22,-0.07,-0.14,0.04,-0.62,-0.21,-0.11,-0.38,0.76,0.32,-0.05,0.1,-0.53,-0.12,-0.02,0.2,1.31,0.86,0,0.68,0,0.53,0.44,0,0.26,0.77,0.34,-0.04,0.16,-0.09
2007-06-22,-0.65,-1.03,-0.02,0.11,-0.12,0.21,-0.03,-0.38,0.63,0.76,0.86,1.02,1.13,0.63,-0.02,-0.39,0.26,0.6,0.72,0.54,0.83,0.59,0.37,-0.28,-0.65,0.35,0.48,0.29,0.58,0.34,0.11,-0.58,-0.96,0,0.17,0,0.04,-1.24,0,-0.12,-0.62,-1.0,0.01,0.12,0.21
2007-06-25,0.05,-0.08,-0.05,-0.14,-0.4,-0.14,-0.04,-0.13,-0.11,-0.18,-0.2,0.03,-0.07,0.0,0.03,-0.07,0.01,-0.05,-0.14,-0.38,-0.1,-0.05,0.0,0.05,-0.09,-0.06,-0.15,-0.37,-0.15,-0.05,-0.09,0.42,0.29,0,0.23,0,0.33,0.07,0,0.01,0.1,-0.03,-0.02,-0.1,-0.05
2007-06-26,-0.28,-0.23,-0.21,-0.53,-0.24,-0.12,-0.2,0.03,0.06,-0.26,0.15,0.02,-0.29,0.15,-0.12,-0.1,-0.11,-0.06,-0.4,-0.11,0.02,-0.06,0.26,-0.01,0.02,0.05,-0.26,0.0,0.14,0.06,-0.32,-0.01,0.03,0,-0.26,0,0.06,-0.11,0,-0.4,-0.07,-0.03,-0.01,-0.32,0.08
2007-06-27,-0.73,-0.73,-0.78,-1.17,-0.18,-0.84,-0.83,0.0,-0.05,-0.44,-0.11,-0.05,-0.45,0.83,0.1,0.1,-0.05,0.05,-0.36,0.67,-0.01,-0.0,0.86,0.12,0.14,0.07,-0.32,0.68,0.02,0.02,-0.4,-0.57,-0.55,0,-1.01,0,-0.67,0.11,0,-0.34,0.09,0.1,0.05,-0.35,-0.01
2007-06-28,-0.11,1.09,0.94,1.21,-0.19,0.71,0.94,1.21,1.05,1.34,0.82,-0.15,0.11,-0.94,-1.07,0.11,-0.2,-0.03,0.26,-1.14,-0.26,-0.04,-0.75,-0.86,0.34,0.18,0.46,-0.93,-0.05,0.17,0.27,0.09,1.28,0,1.4,0,1.13,0.38,0,0.5,-1.04,0.16,0.01,0.28,-0.22
2007-06-29,0.89,-0.44,0.37,0.35,-0.07,0.05,0.35,-1.33,-0.52,-0.57,-0.83,0.82,0.8,0.32,1.24,-0.11,0.39,0.71,0.68,0.29,0.39,0.69,-0.06,0.83,-0.5,0.3,0.28,-0.11,-0.01,0.28,-0.04,0.95,-0.37,0,0.4,0,0.4,-0.5,0,0.28,0.55,-0.79,0.02,-0.01,-0.3
2007-07-02,0.44,0.3,1.1,0.56,-0.07,0.69,1.13,-0.14,0.64,0.11,0.25,0.8,0.25,-0.51,-0.1,-0.24,0.19,0.57,0.02,-0.66,0.17,0.61,-0.72,-0.29,-0.41,0.37,-0.17,-0.86,-0.04,0.4,-0.55,0.55,0.44,0,0.69,0,1.25,-0.39,0,-0.15,-0.67,-0.82,-0.02,-0.58,-0.44
2007-07-03,0.0,-0.09,-0.53,-0.44,-0.36,-0.47,-0.5,-0.11,-0.54,-0.48,-0.49,-0.43,-0.37,0.38,0.41,0.3,-0.07,-0.14,-0.07,0.03,-0.08,-0.11,0.47,0.46,0.37,-0.08,-0.01,0.09,-0.02,-0.04,0.06,0.36,0.26,0,-0.11,0,-0.14,0.38,0,0.03,0.51,0.41,-0.03,0.05,0.02
2007-07-04,0.04,0.44,0.39,0.58,0.22,0.25,0.39,0.4,0.35,0.55,0.21,-0.06,0.16,-0.34,-0.31,0.09,0.01,0.04,0.22,-0.11,-0.1,0.04,-0.36,-0.32,0.08,0.02,0.22,-0.12,-0.11,0.03,0.22,-0.2,0.2,0,0.36,0,0.15,0.19,0,0.34,-0.35,0.05,0.0,0.21,-0.13
