,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-06-01,0.14,0.16,-0.11,-0.2,0.53,0.09,-0.6,-0.09,-0.01,0.09
2018-06-04,0.96,-0.02,-0.2,0.17,-0.49,-0.2,-0.5,0.48,-0.01,-0.2
2018-06-05,-0.51,-0.35,0.32,0.14,0.64,-0.07,-0.05,-0.2,0.12,-0.04
2018-06-06,0.6,0.06,-0.3,0.42,0.06,-0.16,-0.54,0.02,0.02,-0.17
2018-06-07,-0.67,-0.28,0.64,0.18,0.06,-0.03,0.44,-0.14,-0.16,-0.05
2018-06-08,-0.29,0.5,-0.45,-0.22,-0.05,0.08,0.22,0.17,-0.05,0.07
2018-06-11,0.31,0.24,-0.03,0.14,-0.23,0.02,-0.66,0.06,0.1,0.05
2018-06-12,-0.28,-0.06,0.04,-0.15,0.14,0.21,-0.12,-0.07,0.06,0.22
2018-06-13,-0.04,0.14,0.01,0.3,-0.11,-0.17,-0.14,0.19,-0.03,-0.16
2018-06-14,-0.61,-0.15,-0.4,-1.25,-0.04,0.84,0.56,0.13,0.08,0.85
2018-06-15,-0.33,-0.48,0.09,0.57,0.33,0.17,0.17,-0.34,-0.35,0.18
2018-06-18,-0.3,-0.15,0.21,0.31,-0.17,-0.04,0.13,0.1,-0.07,-0.02
2018-06-19,-0.34,-0.45,0.4,-0.04,-0.34,0.25,0.76,-0.29,-0.19,0.26
2018-06-20,-0.03,-0.06,-0.01,0.05,0.13,0.22,-0.12,-0.41,0.04,0.17
2018-06-21,-0.09,-0.22,0.32,0.1,0.4,-0.17,0.19,-0.21,-0.15,-0.18
2018-06-22,0.62,0.09,0.2,0.2,-0.15,-0.32,-0.32,0.34,-0.32,-0.32
2018-06-25,-0.35,-0.15,0.15,0.43,0.25,0.02,0.14,-0.27,-0.27,0.05
2018-06-26,-0.02,0.21,-0.09,-0.24,-0.2,0.27,0.02,-0.48,0.22,0.31
2018-06-27,-0.28,0.2,-0.19,-0.37,-0.48,0.53,0.3,-0.41,0.18,0.52
2018-06-28,0.19,0.74,0.01,0.16,-0.31,0.02,-0.23,-0.62,0.02,0.01
2018-06-29,0.27,0.49,0.27,0.6,0.6,-0.5,-0.75,-0.32,-0.13,-0.53
2018-07-02,-0.61,0.15,0.08,0.1,0.0,0.49,0.2,-0.78,-0.06,0.43
2018-07-03,0.41,0.11,-0.21,-0.12,0.06,-0.32,-0.02,0.37,0.05,-0.31
2018-07-04,-0.09,-0.06,-0.08,-0.04,0.27,-0.01,0.07,0.03,-0.06,-0.03
2018-07-05,-0.02,0.02,-0.11,0.28,-0.1,-0.11,-0.22,0.37,-0.04,-0.07
2018-07-06,0.23,-0.01,0.05,0.12,0.17,-0.42,-0.3,0.41,0.16,-0.41
2018-07-09,0.53,-0.1,-0.07,0.13,-0.44,0.06,-0.34,0.0,0.18,0.06
2018-07-10,-0.06,0.03,0.03,-0.07,0.16,0.05,-0.15,-0.01,-0.02,0.04
2018-07-11,-0.64,-0.14,0.21,0.0,0.08,0.65,-0.38,-0.52,0.08,0.65
2018-07-12,0.59,0.45,-0.74,-0.05,-0.02,-0.03,-0.55,0.32,0.06,-0.03
2018-07-13,0.2,-0.04,0.03,0.1,0.2,-0.04,0.11,-0.27,-0.25,-0.05
2018-07-16,-0.16,0.07,0.36,0.06,-0.1,-0.15,-0.21,0.11,0.14,-0.14
2018-07-17,-0.11,-0.09,-0.04,-0.12,-0.67,0.34,-0.24,0.46,0.12,0.34
2018-07-18,0.13,0.21,0.13,-0.2,-0.41,-0.01,0.04,0.13,-0.02,0.0
2018-07-19,-0.33,-0.55,0.25,0.31,-0.18,0.29,0.66,-0.62,-0.12,0.29
2018-07-20,0.17,0.37,0.01,0.02,0.3,-0.72,0.31,0.35,-0.07,-0.71
2018-07-23,-0.38,-0.14,0.11,-0.14,-0.03,0.2,0.22,0.03,-0.05,0.19
2018-07-24,0.43,-0.02,-0.21,-0.22,0.24,-0.13,0.01,0.08,-0.04,-0.15
2018-07-25,0.12,0.55,-0.14,0.07,0.02,-0.34,-0.16,0.17,0.08,-0.35
2018-07-26,-0.68,0.22,0.2,-0.36,-0.21,0.45,0.22,-0.38,0.05,0.48
2018-07-27,0.21,0.05,-0.12,0.03,-0.11,-0.1,0.1,-0.02,0.07,-0.1
2018-07-30,-0.11,-0.04,0.53,0.27,-0.02,-0.21,-0.32,0.26,-0.17,-0.19
2018-07-31,0.42,0.32,-0.16,-0.07,-0.01,0.06,-0.74,0.06,0.05,0.07
2018-08-01,-0.24,0.17,-0.11,-0.2,0.15,0.11,0.24,-0.3,0.09,0.1
2018-08-02,-0.24,0.27,0.05,-0.3,-0.46,0.38,0.47,-0.37,-0.2,0.4
