date,HKD
2017-01-27T22:00:00,0.96
2017-02-03T22:00:00,1.98
2017-02-10T22:00:00,1.11
2017-02-17T22:00:00,1.0
2017-02-24T22:00:00,2.51
2017-03-03T22:00:00,1.6
2017-03-10T22:00:00,0.59
2017-03-17T21:00:00,0.8
2017-03-24T21:00:00,1.54
2017-03-31T21:00:00,1.68
2017-04-07T21:00:00,0.52
2017-04-14T21:00:00,0.99
2017-04-21T21:00:00,1.93
2017-04-28T21:00:00,1.07
2017-05-05T21:00:00,1.53
2017-05-12T21:00:00,0.37
2017-05-19T21:00:00,0.9
2017-05-26T21:00:00,0.59
2017-06-02T21:00:00,1.03
2017-06-09T21:00:00,1.02
2017-06-16T21:00:00,1.06
2017-06-23T21:00:00,0.54
2017-06-30T21:00:00,1.45
2017-07-07T21:00:00,0.62
2017-07-14T21:00:00,0.73
2017-07-21T21:00:00,1.07
2017-07-28T21:00:00,1.52
2017-08-04T21:00:00,1.04
2017-08-11T21:00:00,1.33
2017-08-18T21:00:00,0.8
2017-08-25T21:00:00,1.78
2017-09-01T21:00:00,0.57
2017-09-08T21:00:00,1.78
2017-09-15T21:00:00,1.85
2017-09-22T21:00:00,2.02
2017-09-29T21:00:00,2.12
2017-10-06T21:00:00,0.38
2017-10-13T21:00:00,2.37
2017-10-20T21:00:00,2.39
2017-10-27T21:00:00,1.12
2017-11-03T21:00:00,0.57
2017-11-10T22:00:00,1.1
2017-11-17T22:00:00,0.56
2017-11-24T22:00:00,1.15
2017-12-01T22:00:00,2.0
2017-12-08T22:00:00,0.8
2017-12-15T22:00:00,0.52
2017-12-22T22:00:00,0.62
2017-12-29T22:00:00,0.59
2018-01-05T22:00:00,0.78
2018-01-12T22:00:00,0.82
2018-01-19T22:00:00,0.82
2018-01-26T22:00:00,1.95
2018-02-02T22:00:00,2.46
2018-02-09T22:00:00,0.83
2018-02-16T22:00:00,1.83
2018-02-23T22:00:00,1.88
2018-03-02T22:00:00,1.12
2018-03-09T22:00:00,1.66
2018-03-16T21:00:00,0.74
2018-03-23T21:00:00,1.5
2018-03-30T21:00:00,1.08
2018-04-06T21:00:00,0.71
2018-04-13T21:00:00,2.36
2018-04-20T21:00:00,2.32
2018-04-27T21:00:00,1.82
2018-05-04T21:00:00,1.3
2018-05-11T21:00:00,1.74
2018-05-18T21:00:00,1.32
2018-05-25T21:00:00,1.09
2018-06-01T21:00:00,0.68
2018-06-08T21:00:00,2.51
2018-06-15T21:00:00,1.14
2018-06-22T21:00:00,1.66
2018-06-29T21:00:00,0.84
2018-07-06T21:00:00,2.01
2018-07-13T21:00:00,1.08
2018-07-20T21:00:00,0.92
2018-07-27T21:00:00,1.26
2018-08-03T21:00:00,2.23
2018-08-10T21:00:00,0.66
2018-08-17T21:00:00,0.77
2018-08-24T21:00:00,1.39
2018-08-31T21:00:00,1.5
2018-09-07T21:00:00,0.94
2018-09-14T21:00:00,1.12
2018-09-21T21:00:00,1.63
2018-09-28T21:00:00,2.1
2018-10-05T21:00:00,0.84
2018-10-12T21:00:00,1.03
2018-10-19T21:00:00,1.68
2018-10-26T21:00:00,1.44
2018-11-02T21:00:00,1.28
2018-11-09T22:00:00,0.85
2018-11-16T22:00:00,1.38
2018-11-23T22:00:00,0.93
2018-11-30T22:00:00,1.61
2018-12-07T22:00:00,1.66
2018-12-14T22:00:00,1.45
2018-12-21T22:00:00,0.61
2018-12-28T22:00:00,1.74
2019-01-04T22:00:00,0.59
2019-01-11T22:00:00,1.61
2019-01-18T22:00:00,0.54
2019-01-25T22:00:00,0.85
2019-02-01T22:00:00,2.18
2019-02-08T22:00:00,0.89
2019-02-15T22:00:00,0.67
2019-02-22T22:00:00,1.42
2019-03-01T22:00:00,1.74
2019-03-08T22:00:00,0.43
2019-03-15T21:00:00,1.14
2019-03-22T21:00:00,1.31
2019-03-29T21:00:00,1.12
2019-04-05T21:00:00,0.57
2019-04-12T21:00:00,1.21
2019-04-19T21:00:00,1.56
2019-04-26T21:00:00,0.54
2019-05-03T21:00:00,0.84
2019-05-10T21:00:00,1.8
2019-05-17T21:00:00,0.62
2019-05-24T21:00:00,1.04
2019-05-31T21:00:00,0.23
2019-06-07T21:00:00,2.38
2019-06-14T21:00:00,0.38
2019-06-21T21:00:00,0.55
2019-06-28T21:00:00,2.06
2019-07-05T21:00:00,0.37
2019-07-12T21:00:00,1.1
2019-07-19T21:00:00,1.86
2019-07-26T21:00:00,1.56
2019-08-02T21:00:00,1.28
2019-08-09T21:00:00,1.3
2019-08-16T21:00:00,0.8
2019-08-23T21:00:00,1.89
2019-08-30T21:00:00,0.96
2019-09-06T21:00:00,1.22
2019-09-13T21:00:00,1.33
2019-09-20T21:00:00,1.11
2019-09-27T21:00:00,1.04
2019-10-04T21:00:00,0.9
2019-10-11T21:00:00,0.56
2019-10-18T21:00:00,1.27
2019-10-25T21:00:00,0.48
2019-11-01T21:00:00,2.04
2019-11-08T22:00:00,0.5
2019-11-15T22:00:00,1.02
