"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040720 ,2004-07-20,092741 ,CME ,00 ,092 ,   55778,   23981,    2818,       1,    8446,   42827,   32428,   45646,   23350,   10132,   55778,   23981,    2818,       1,    8446,   42827,   32428,   45646,   23350,   10132,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4313,   -5212,     466,       0,    1084,   -4543,   -4128,   -4077,    -185,    -236,  100.0,   43.0,    5.1,    0.0,   15.1,   76.8,   58.1,   81.8,   41.9,   18.2,  100.0,   43.0,    5.1,    0.0,   15.1,   76.8,   58.1,   81.8,   41.9,   18.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,     16,      1,      1,     10,     15,     26,     17,     38,     16,      1,      1,     10,     15,     26,     17,      0,      0,      0,      0,      0,      0,      0,      0,    28.0,    41.0,    39.2,    62.4,    28.0,    40.6,    39.2,    62.0,    28.0,    41.0,    39.2,    62.4,    28.0,    40.6,    39.2,    62.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040713 ,2004-07-13,092741 ,CME ,00 ,092 ,   60091,   29193,    2352,       1,    7362,   47370,   36556,   49723,   23535,   10368,   60091,   29193,    2352,       1,    7362,   47370,   36556,   49723,   23535,   10368,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6530,    4047,    -618,       0,     347,    2445,    4394,    1827,    2136,    4703,  100.0,   48.6,    3.9,    0.0,   12.3,   78.8,   60.8,   82.7,   39.2,   17.3,  100.0,   48.6,    3.9,    0.0,   12.3,   78.8,   60.8,   82.7,   39.2,   17.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     41,     20,      1,      1,      8,     15,     28,     17,     41,     20,      1,      1,      8,     15,     28,     17,      0,      0,      0,      0,      0,      0,      0,      0,    26.1,    45.8,    39.2,    65.7,    26.1,    45.3,    39.2,    65.2,    26.1,    45.8,    39.2,    65.7,    26.1,    45.3,    39.2,    65.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040706 ,2004-07-06,092741 ,CME ,00 ,092 ,   53561,   25146,    2970,       1,    7015,   44925,   32162,   47896,   21399,    5665,   53561,   25146,    2970,       1,    7015,   44925,   32162,   47896,   21399,    5665,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   14445,    8914,    -913,      -9,    1578,   17717,   10483,   16795,    3962,   -2350,  100.0,   46.9,    5.5,    0.0,   13.1,   83.9,   60.0,   89.4,   40.0,   10.6,  100.0,   46.9,    5.5,    0.0,   13.1,   83.9,   60.0,   89.4,   40.0,   10.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     40,     16,      3,      1,      9,     16,     25,     20,     40,     16,      3,      1,      9,     16,     25,     20,      0,      0,      0,      0,      0,      0,      0,      0,    27.8,    46.7,    40.4,    71.3,    27.8,    46.0,    40.4,    70.5,    27.8,    46.7,    40.4,    71.3,    27.8,    46.0,    40.4,    70.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040629 ,2004-06-29,092741 ,CME ,00 ,092 ,   39116,   16232,    3883,      10,    5437,   27208,   21679,   31101,   17437,    8015,   39116,   16232,    3883,      10,    5437,   27208,   21679,   31101,   17437,    8015,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3662,   -2267,    2822,      10,     135,   -7318,   -2122,   -4486,   -1540,     824,  100.0,   41.5,    9.9,    0.0,   13.9,   69.6,   55.4,   79.5,   44.6,   20.5,  100.0,   41.5,    9.9,    0.0,   13.9,   69.6,   55.4,   79.5,   44.6,   20.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     32,     12,      4,      2,      6,     14,     19,     19,     32,     12,      4,      2,      6,     14,     19,     19,      0,      0,      0,      0,      0,      0,      0,      0,    36.2,    38.1,    45.4,    58.8,    36.2,    37.6,    45.4,    57.8,    36.2,    38.1,    45.4,    58.8,    36.2,    37.6,    45.4,    57.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040622 ,2004-06-22,092741 ,CME ,00 ,092 ,   42778,   18499,    1061,       0,    5302,   34526,   23801,   35587,   18977,    7191,   42778,   18499,    1061,       0,    5302,   34526,   23801,   35587,   18977,    7191,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -610,   -2600,   -3293,      -3,    -250,    3674,   -2853,     378,    2243,    -988,  100.0,   43.2,    2.5,    0.0,   12.4,   80.7,   55.6,   83.2,   44.4,   16.8,  100.0,   43.2,    2.5,    0.0,   12.4,   80.7,   55.6,   83.2,   44.4,   16.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     31,     13,      1,      0,      6,     15,     19,     16,     31,     13,      1,      0,      6,     15,     19,     16,      0,      0,      0,      0,      0,      0,      0,      0,    33.1,    44.5,    45.0,    67.5,    33.1,    44.4,    45.0,    66.9,    33.1,    44.5,    45.0,    67.5,    33.1,    44.4,    45.0,    66.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040615 ,2004-06-15,092741 ,CME ,00 ,092 ,   43388,   21099,    4354,       3,    5552,   30852,   26654,   35209,   16734,    8179,   43388,   21099,    4354,       3,    5552,   30852,   26654,   35209,   16734,    8179,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -26590,   -1571,   -2054,     -10,  -18878,  -18806,  -20459,  -20870,   -6131,   -5720,  100.0,   48.6,   10.0,    0.0,   12.8,   71.1,   61.4,   81.1,   38.6,   18.9,  100.0,   48.6,   10.0,    0.0,   12.8,   71.1,   61.4,   81.1,   38.6,   18.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,     15,      4,      1,      7,     14,     22,     19,     36,     15,      4,      1,      7,     14,     22,     19,      0,      0,      0,      0,      0,      0,      0,      0,    32.7,    39.9,    46.2,    60.7,    32.7,    39.8,    46.2,    60.6,    32.7,    39.9,    46.2,    60.7,    32.7,    39.8,    46.2,    60.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040608 ,2004-06-08,092741 ,CME ,00 ,092 ,   69978,   22670,    6408,      13,   24430,   49658,   47113,   56079,   22865,   13899,   69978,   22670,    6408,      13,   24430,   49658,   47113,   56079,   22865,   13899,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   24008,   10562,    -378,       3,    9794,   21484,   20359,   21109,    3649,    2899,  100.0,   32.4,    9.2,    0.0,   34.9,   71.0,   67.3,   80.1,   32.7,   19.9,  100.0,   32.4,    9.2,    0.0,   34.9,   71.0,   67.3,   80.1,   32.7,   19.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     43,     16,      6,      2,     12,     19,     29,     26,     43,     16,      6,      2,     12,     19,     29,     26,      0,      0,      0,      0,      0,      0,      0,      0,    28.0,    34.1,    46.1,    53.9,    21.5,    26.9,    30.1,    42.2,    28.0,    34.1,    46.1,    53.9,    21.5,    26.9,    30.1,    42.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040601 ,2004-06-01,092741 ,CME ,00 ,092 ,   45970,   12108,    6786,      10,   14636,   28174,   26754,   34970,   19216,   11000,   45970,   12108,    6786,      10,   14636,   28174,   26754,   34970,   19216,   11000,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    9441,    7741,   -1121,       3,   -4666,   11280,    3078,   10162,    6363,    -721,  100.0,   26.3,   14.8,    0.0,   31.8,   61.3,   58.2,   76.1,   41.8,   23.9,  100.0,   26.3,   14.8,    0.0,   31.8,   61.3,   58.2,   76.1,   41.8,   23.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,     10,      6,      1,     10,     17,     21,     23,     36,     10,      6,      1,     10,     17,     21,     23,      0,      0,      0,      0,      0,      0,      0,      0,    30.9,    34.0,    43.9,    55.7,    30.8,    32.0,    43.8,    53.7,    30.9,    34.0,    43.9,    55.7,    30.8,    32.0,    43.8,    53.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040525 ,2004-05-25,092741 ,CME ,00 ,092 ,   36529,    4367,    7907,       7,   19302,   16894,   23676,   24808,   12853,   11721,   36529,    4367,    7907,       7,   19302,   16894,   23676,   24808,   12853,   11721,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1661,    -266,     676,       3,   -2508,     416,   -2771,    1095,    4432,     566,  100.0,   12.0,   21.6,    0.0,   52.8,   46.2,   64.8,   67.9,   35.2,   32.1,  100.0,   12.0,   21.6,    0.0,   52.8,   46.2,   64.8,   67.9,   35.2,   32.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      5,      8,      2,      8,     11,     15,     19,     29,      5,      8,      2,      8,     11,     15,     19,      0,      0,      0,      0,      0,      0,      0,      0,    43.4,    31.7,    55.8,    50.4,    42.9,    29.3,    55.2,    48.0,    43.4,    31.7,    55.8,    50.4,    42.9,    29.3,    55.2,    48.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040518 ,2004-05-18,092741 ,CME ,00 ,092 ,   34868,    4633,    7231,       4,   21810,   16478,   26447,   23713,    8421,   11155,   34868,    4633,    7231,       4,   21810,   16478,   26447,   23713,    8421,   11155,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3599,    3389,    -908,       1,   -6311,    2163,   -2921,    1256,    -678,   -4855,  100.0,   13.3,   20.7,    0.0,   62.6,   47.3,   75.8,   68.0,   24.2,   32.0,  100.0,   13.3,   20.7,    0.0,   62.6,   47.3,   75.8,   68.0,   24.2,   32.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,      6,      7,      1,     11,     12,     18,     19,     33,      6,      7,      1,     11,     12,     18,     19,      0,      0,      0,      0,      0,      0,      0,      0,    43.0,    32.9,    58.2,    49.9,    42.6,    30.2,    54.6,    45.3,    43.0,    32.9,    58.2,    49.9,    42.6,    30.2,    54.6,    45.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040511 ,2004-05-11,092741 ,CME ,00 ,092 ,   38467,    1244,    8139,       3,   28121,   14315,   29368,   22457,    9099,   16010,   38467,    1244,    8139,       3,   28121,   14315,   29368,   22457,    9099,   16010,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1566,    -473,    -667,       3,    3226,    2214,    2756,    1550,   -1190,      16,  100.0,    3.2,   21.2,    0.0,   73.1,   37.2,   76.3,   58.4,   23.7,   41.6,  100.0,    3.2,   21.2,    0.0,   73.1,   37.2,   76.3,   58.4,   23.7,   41.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,      2,      9,      1,     10,     10,     13,     19,     28,      2,      9,      1,     10,     10,     13,     19,      0,      0,      0,      0,      0,      0,      0,      0,    50.3,    27.9,    68.7,    43.1,    50.0,    26.0,    62.4,    39.9,    50.3,    27.9,    68.7,    43.1,    50.0,    26.0,    62.4,    39.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040504 ,2004-05-04,092741 ,CME ,00 ,092 ,   36901,    1717,    8806,       0,   24895,   12101,   26612,   20907,   10289,   15994,   36901,    1717,    8806,       0,   24895,   12101,   26612,   20907,   10289,   15994,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -988,     343,   -3660,      -2,   -2935,    5782,   -2594,    2120,    1606,   -3108,  100.0,    4.7,   23.9,    0.0,   67.5,   32.8,   72.1,   56.7,   27.9,   43.3,  100.0,    4.7,   23.9,    0.0,   67.5,   32.8,   72.1,   56.7,   27.9,   43.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      3,      9,      0,     10,      8,     13,     17,     29,      3,      9,      0,     10,      8,     13,     17,      0,      0,      0,      0,      0,      0,      0,      0,    45.1,    25.0,    64.7,    40.7,    44.7,    23.0,    60.8,    37.3,    45.1,    25.0,    64.7,    40.7,    44.7,    23.0,    60.8,    37.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040427 ,2004-04-27,092741 ,CME ,00 ,092 ,   37889,    1374,   12466,       2,   27830,    6319,   29206,   18787,    8683,   19102,   37889,    1374,   12466,       2,   27830,    6319,   29206,   18787,    8683,   19102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1047,   -2383,     406,       2,    2895,    -720,     514,    -312,   -1561,    -735,  100.0,    3.6,   32.9,    0.0,   73.5,   16.7,   77.1,   49.6,   22.9,   50.4,  100.0,    3.6,   32.9,    0.0,   73.5,   16.7,   77.1,   49.6,   22.9,   50.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      2,     12,      1,     11,      5,     14,     17,     29,      2,     12,      1,     11,      5,     14,     17,      0,      0,      0,      0,      0,      0,      0,      0,    52.7,    23.8,    70.7,    36.0,    49.6,    23.8,    67.6,    35.2,    52.7,    23.8,    70.7,    36.0,    49.6,    23.8,    67.6,    35.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040420 ,2004-04-20,092741 ,CME ,00 ,092 ,   38936,    3757,   12060,       0,   24935,    7039,   28692,   19099,   10244,   19837,   38936,    3757,   12060,       0,   24935,    7039,   28692,   19099,   10244,   19837,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2798,    -108,    2254,       0,    3145,   -4426,    3037,   -2172,    -239,    4970,  100.0,    9.6,   31.0,    0.0,   64.0,   18.1,   73.7,   49.1,   26.3,   50.9,  100.0,    9.6,   31.0,    0.0,   64.0,   18.1,   73.7,   49.1,   26.3,   50.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      4,     11,      0,     10,      5,     14,     16,     29,      4,     11,      0,     10,      5,     14,     16,      0,      0,      0,      0,      0,      0,      0,      0,    47.8,    22.1,    64.2,    36.8,    47.6,    22.1,    61.2,    36.3,    47.8,    22.1,    64.2,    36.8,    47.6,    22.1,    61.2,    36.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040412 ,2004-04-12,092741 ,CME ,00 ,092 ,   36138,    3865,    9806,       0,   21790,   11465,   25655,   21271,   10483,   14867,   36138,    3865,    9806,       0,   21790,   11465,   25655,   21271,   10483,   14867,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -8193,    -504,   -7391,       0,   -7729,    1184,   -8233,   -6207,      40,   -1986,  100.0,   10.7,   27.1,    0.0,   60.3,   31.7,   71.0,   58.9,   29.0,   41.1,  100.0,   10.7,   27.1,    0.0,   60.3,   31.7,   71.0,   58.9,   29.0,   41.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     30,      4,     10,      0,      9,      9,     13,     19,     30,      4,     10,      0,      9,      9,     13,     19,      0,      0,      0,      0,      0,      0,      0,      0,    44.7,    31.3,    61.5,    43.2,    44.7,    31.3,    61.1,    43.2,    44.7,    31.3,    61.5,    43.2,    44.7,    31.3,    61.1,    43.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040406 ,2004-04-06,092741 ,CME ,00 ,092 ,   44331,    4369,   17197,       0,   29519,   10281,   33888,   27478,   10443,   16853,   44331,    4369,   17197,       0,   29519,   10281,   33888,   27478,   10443,   16853,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    9630,     475,    8683,      -3,    8210,   -2537,    8682,    6143,     948,    3487,  100.0,    9.9,   38.8,    0.0,   66.6,   23.2,   76.4,   62.0,   23.6,   38.0,  100.0,    9.9,   38.8,    0.0,   66.6,   23.2,   76.4,   62.0,   23.6,   38.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      4,     14,      0,     13,      8,     17,     22,     37,      4,     14,      0,     13,      8,     17,     22,      0,      0,      0,      0,      0,      0,      0,      0,    48.8,    31.0,    62.2,    43.5,    48.8,    31.0,    62.2,    43.5,    48.8,    31.0,    62.2,    43.5,    48.8,    31.0,    62.2,    43.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040330 ,2004-03-30,092741 ,CME ,00 ,092 ,   34701,    3894,    8514,       3,   21309,   12818,   25206,   21335,    9495,   13366,   34701,    3894,    8514,       3,   21309,   12818,   25206,   21335,    9495,   13366,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2084,    -236,    1522,       0,    3006,    -356,    2770,    1166,    -686,     918,  100.0,   11.2,   24.5,    0.0,   61.4,   36.9,   72.6,   61.5,   27.4,   38.5,  100.0,   11.2,   24.5,    0.0,   61.4,   36.9,   72.6,   61.5,   27.4,   38.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      4,      9,      1,     10,      9,     15,     18,     29,      4,      9,      1,     10,      9,     15,     18,      0,      0,      0,      0,      0,      0,      0,      0,    47.2,    33.2,    63.0,    47.0,    47.2,    33.2,    62.0,    44.2,    47.2,    33.2,    63.0,    47.0,    47.2,    33.2,    62.0,    44.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040323 ,2004-03-23,092741 ,CME ,00 ,092 ,   32617,    4130,    6992,       3,   18303,   13174,   22436,   20169,   10181,   12448,   32617,    4130,    6992,       3,   18303,   13174,   22436,   20169,   10181,   12448,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4364,     779,   -5682,       0,   -4984,    3645,   -4205,   -2037,    -159,   -2327,  100.0,   12.7,   21.4,    0.0,   56.1,   40.4,   68.8,   61.8,   31.2,   38.2,  100.0,   12.7,   21.4,    0.0,   56.1,   40.4,   68.8,   61.8,   31.2,   38.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      4,      7,      1,     10,     10,     15,     17,     27,      4,      7,      1,     10,     10,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,    39.5,    38.2,    56.5,    52.6,    39.4,    38.2,    56.4,    50.7,    39.5,    38.2,    56.5,    52.6,    39.4,    38.2,    56.4,    50.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040316 ,2004-03-16,092741 ,CME ,00 ,092 ,   36981,    3351,   12674,       3,   23287,    9529,   26641,   22206,   10340,   14775,   36981,    3351,   12674,       3,   23287,    9529,   26641,   22206,   10340,   14775,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -15197,    -273,   -5723,     -15,  -13505,   -7266,  -13793,  -13004,   -1404,   -2193,  100.0,    9.1,   34.3,    0.0,   63.0,   25.8,   72.0,   60.0,   28.0,   40.0,  100.0,    9.1,   34.3,    0.0,   63.0,   25.8,   72.0,   60.0,   28.0,   40.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,      3,     10,      1,     11,      8,     15,     18,     29,      3,     10,      1,     11,      8,     15,     18,      0,      0,      0,      0,      0,      0,      0,      0,    46.4,    39.7,    63.8,    49.4,    46.4,    39.6,    63.0,    49.4,    46.4,    39.7,    63.8,    49.4,    46.4,    39.6,    63.0,    49.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
