,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-08-09,0.9,0.72,0.85,0.75,0.77,0.74,0.77,1.88,0.65,0.75
2018-08-10,1.16,0.92,0.75,1.08,0.9,0.77,1.09,0.92,0.72,0.77
2018-08-13,0.57,0.58,0.52,0.61,0.5,0.46,1.0,0.57,0.54,0.46
2018-08-14,0.73,0.91,0.66,0.76,0.85,0.62,0.84,0.7,0.59,0.63
2018-08-15,0.66,1.02,0.68,0.57,0.67,0.55,1.14,0.58,0.52,0.55
2018-08-16,0.84,0.59,0.71,0.58,0.55,0.57,0.84,0.7,0.56,0.58
2018-08-17,0.7,0.8,0.56,0.55,0.54,0.6,0.76,0.66,0.47,0.6
2018-08-20,0.47,0.44,0.44,0.51,0.45,0.5,0.47,0.51,0.41,0.5
2018-08-21,0.61,0.66,0.68,0.81,0.82,0.66,1.05,0.77,0.56,0.66
2018-08-22,0.54,0.6,0.55,0.56,0.51,0.44,0.6,0.6,0.42,0.44
2018-08-23,1.12,0.65,0.6,0.61,0.64,0.76,0.61,0.7,0.55,0.76
2018-08-24,1.07,0.6,0.58,0.63,0.6,0.72,0.67,0.8,0.59,0.72
2018-08-27,0.48,0.68,0.48,0.57,0.46,0.54,0.58,0.48,0.4,0.54
2018-08-28,0.5,0.57,0.56,0.45,0.52,0.5,0.47,0.56,0.43,0.51
2018-08-29,1.06,0.7,0.99,0.68,1.52,0.63,0.95,0.7,0.62,0.64
2018-08-30,0.87,0.79,0.7,0.66,0.62,0.6,1.1,1.18,0.58,0.6
2018-08-31,1.02,0.82,0.73,0.7,0.63,0.67,0.79,0.66,0.57,0.67
2018-09-03,0.82,0.54,0.43,0.46,0.72,0.39,0.48,0.54,0.42,0.39
2018-09-04,0.83,0.72,0.61,0.61,0.61,0.69,0.69,0.8,0.56,0.69
2018-09-05,0.99,0.7,0.7,0.79,1.4,0.69,0.83,1.0,0.67,0.69
2018-09-06,0.61,0.78,0.76,0.6,0.6,0.56,0.91,0.68,0.5,0.56
2018-09-07,1.24,0.77,0.67,0.77,1.06,0.75,0.9,0.82,0.63,0.75
2018-09-10,0.61,0.55,0.92,0.75,1.14,0.52,0.66,0.64,0.5,0.52
2018-09-11,0.62,1.01,0.66,0.67,0.88,0.59,0.82,0.65,0.59,0.59
2018-09-12,0.96,0.64,0.57,0.61,0.72,0.66,0.68,0.72,0.56,0.67
2018-09-13,0.82,0.62,0.66,0.72,0.69,0.6,1.04,0.63,0.54,0.6
2018-09-14,0.62,0.48,0.45,0.58,0.52,0.59,0.52,0.56,0.42,0.58
2018-09-17,0.53,0.51,0.53,0.47,0.57,0.51,0.58,0.54,0.45,0.54
2018-09-18,1.09,0.83,0.72,0.64,0.65,0.59,1.0,0.71,0.58,0.59
2018-09-19,0.82,0.84,0.82,0.61,0.85,0.6,0.63,0.7,0.53,0.59
2018-09-20,0.69,0.7,0.84,0.79,0.98,0.7,0.95,1.13,0.61,0.72
2018-09-21,0.65,0.64,0.81,0.67,1.73,0.95,0.75,0.64,0.58,0.64
2018-09-24,0.51,0.5,0.71,0.72,0.84,0.51,0.56,0.69,0.48,0.52
2018-09-25,0.42,0.38,0.43,0.49,0.73,0.35,0.42,0.43,0.34,0.35
2018-09-26,0.85,0.85,0.74,0.63,0.65,0.64,0.65,0.86,0.55,0.62
2018-09-27,0.73,0.87,1.16,0.79,0.77,0.77,0.84,0.85,0.71,0.78
2018-09-28,0.71,1.28,1.0,0.83,0.8,0.64,0.68,0.76,0.59,0.59
2018-10-01,0.52,0.98,0.63,0.61,0.82,0.49,0.52,0.58,0.54,0.48
2018-10-02,0.88,0.51,0.65,0.6,0.73,0.52,0.79,0.6,0.5,0.54
2018-10-03,0.88,0.69,0.68,0.79,0.8,0.84,0.76,0.86,0.61,0.84
2018-10-04,0.76,0.74,0.62,0.69,0.91,0.58,0.94,0.81,0.55,0.59
2018-10-05,0.68,0.64,0.6,0.59,1.0,0.53,0.72,0.87,0.51,0.53
