,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2008-08-07,0.04,-0.15,-0.01,-0.36,0.02,0.24,0.59,-0.26,-0.34,0.24
2008-08-08,-0.93,-0.13,-0.76,-1.03,-0.02,1.2,0.54,-0.27,0.1,1.3
2008-08-11,-0.04,-0.03,0.03,-0.05,0.04,0.16,0.35,-0.1,-0.47,0.11
2008-08-12,-1.23,0.65,0.02,0.22,-0.72,0.1,0.89,-0.47,0.44,0.1
2008-08-13,0.12,0.11,0.14,-0.05,-1.55,0.01,-0.27,1.16,0.34,-0.01
2008-08-14,0.04,0.21,-0.45,-0.38,0.28,0.29,0.11,-0.18,-0.23,0.31
2008-08-15,-0.54,0.7,-0.1,-0.81,0.02,0.19,-0.56,1.19,-0.33,0.23
2008-08-18,0.05,-0.62,-0.18,-0.0,-0.08,-0.11,0.28,0.51,0.28,-0.13
2008-08-19,0.16,0.03,0.23,0.3,-0.2,-0.28,0.1,0.18,-0.21,-0.31
2008-08-20,0.34,0.26,-0.59,-0.1,-0.19,0.09,-0.03,0.12,-0.0,0.11
2008-08-21,-0.04,0.84,0.38,0.19,0.01,-0.86,0.49,0.22,-0.28,-0.95
2008-08-22,-0.83,0.57,-0.28,0.2,-0.52,0.99,-0.66,-0.85,0.38,1.0
2008-08-25,-0.27,-0.14,0.37,-0.14,0.23,0.06,0.87,-0.53,-0.52,0.07
2008-08-26,-0.46,0.73,0.08,-0.32,-0.35,0.45,0.14,-0.55,-0.16,0.44
2008-08-27,0.11,0.0,-0.07,0.3,-0.53,-0.26,-0.14,0.42,0.42,-0.26
2008-08-28,0.53,-0.47,-0.05,-0.1,-0.33,0.06,0.05,0.1,0.15,0.05
2008-08-29,-0.34,-1.12,-0.03,-0.01,-0.27,0.26,0.94,0.02,0.31,0.24
2008-09-01,-0.42,-0.09,0.15,-0.19,-0.45,0.38,0.68,-0.28,-0.15,0.38
2008-09-02,-0.96,0.62,0.13,-0.08,-0.41,0.63,0.18,-0.81,0.04,0.66
2008-09-03,-0.21,0.53,0.1,-0.11,-0.39,0.05,0.38,-0.23,-0.18,0.06
2008-09-04,-1.22,-0.18,0.26,-0.77,0.04,0.58,1.79,-1.42,0.38,0.55
2008-09-05,-0.63,1.03,-0.67,-0.16,0.16,0.32,-0.39,-0.39,0.42,0.3
2008-09-08,-0.79,0.02,-0.43,-0.93,-0.63,0.73,1.07,-0.16,0.46,0.65
2008-09-09,-1.79,-0.55,0.57,0.15,0.28,0.11,1.62,-0.44,-0.07,0.12
2008-09-10,0.34,0.47,-0.48,-0.59,-0.02,0.51,-0.46,-0.39,0.16,0.47
2008-09-11,0.78,-0.42,-0.14,-0.02,0.3,0.0,0.53,-1.23,0.2,-0.01
2008-09-12,1.26,0.57,-0.26,0.79,1.26,-1.04,-1.83,1.06,-0.78,-1.02
2008-09-15,-1.54,-0.63,0.44,-0.44,-0.01,0.46,1.23,-0.82,0.97,0.35
2008-09-16,-0.4,0.75,-0.19,-0.41,-0.53,0.66,-0.55,0.66,-0.45,0.47
2008-09-17,-1.87,-1.09,1.43,1.0,1.55,-0.59,0.5,-0.44,0.03,-0.54
2008-09-18,1.47,0.84,-0.67,-0.3,-0.44,-0.52,-1.34,2.14,-0.69,-0.49
2008-09-19,3.28,0.81,-0.82,0.21,0.11,-0.7,-2.85,1.14,-0.46,-0.72
2008-09-22,-0.14,0.06,2.0,1.08,0.13,-0.98,0.25,-1.42,0.14,-1.12
2008-09-23,-0.9,0.31,-0.64,-0.38,0.46,0.75,0.53,-0.62,-0.1,0.59
2008-09-24,0.36,0.16,-0.36,-0.02,-0.16,0.05,-0.4,0.5,-0.31,0.18
2008-09-25,0.22,0.49,0.16,-0.02,-0.47,-0.1,-0.38,-0.09,0.12,0.08
2008-09-26,-0.66,0.03,-0.06,-0.06,0.35,-0.05,0.48,0.55,-0.49,-0.09
2008-09-29,-2.47,-0.55,1.02,-0.25,-0.98,0.88,2.69,-1.35,0.35,0.68
2008-09-30,-0.28,-0.58,-1.87,-1.22,-0.31,1.35,-0.64,1.02,1.11,1.42
2008-10-01,-0.52,0.38,-0.17,-0.47,-0.49,0.13,0.6,0.32,0.04,0.18
2008-10-02,-1.16,-0.74,-0.03,-0.54,0.6,0.89,1.36,-1.32,-0.02,0.96
2008-10-03,0.08,-0.51,0.49,-0.52,0.32,-0.1,-0.13,0.66,-0.14,-0.14
2008-10-06,-5.74,-0.21,0.25,0.13,-0.03,1.54,4.72,-2.47,0.34,1.47
2008-10-07,-2.21,-0.29,1.2,1.11,0.46,0.27,0.73,-1.86,0.23,0.36
